LISTING_NEIGHBOURHOOD,MONTH_YEAR,TOTAL_LISTINGS,ACTIVE_LISTINGS_RATE,TRUE_MIN_PRICE_ACTIVE_LISTINGS,TRUE_MAX_PRICE_ACTIVE_LISTINGS,TRUE_AVG_PRICE_ACTIVE_LISTINGS,TRUE_MEDIAN_PRICE_ACTIVE_LISTINGS,TOTAL_DISTINCT_HOSTS,TOTAL_SUPERHOST_COUNT,TRUE_AVG_REVIEW_SCORE_RATING,PERCENTAGE_CHANGE_ACTIVE,PERCENTAGE_CHANGE_INACTIVE,TOTAL_NUMBER_OF_STAYS,AVG_REV
parramatta,10_2020,537,100.000000,20,3000,115.525823,111.000,394,64,89.031663,0%,,9850,1655.938547
parramatta,11_2020,537,100.000000,20,3000,126.994222,123.000,395,64,88.816964,0%,,9003,1517.821229
parramatta,12_2020,524,100.000000,20,3000,135.688403,134.000,400,66,90.603210,-2%,,10554,1997.339695
penrith,01_2021,169,100.000000,24,1795,535.709391,225.000,110,38,94.878869,,,2270,2793.319527
penrith,02_2021,165,99.393939,24,1832,526.567013,200.000,106,38,95.129767,-3%,,2371,3217.630303
penrith,03_2021,164,99.390244,24,2295,695.593800,218.000,107,38,94.959502,-1%,0%,2494,3516.335366
penrith,04_2021,168,98.809524,24,2180,237.774690,242.000,113,40,94.670167,2%,100%,2527,2838.357143
penrith,05_2020,178,100.000000,25,1500,190.961985,151.000,116,44,95.693644,7%,-100%,2302,1364.443820
penrith,06_2020,172,100.000000,25,1500,190.896300,151.000,113,42,95.823884,-3%,,2272,1444.558140
penrith,07_2020,176,100.000000,30,2164,704.515475,200.000,111,39,95.070675,2%,,2187,1529.153409
penrith,08_2020,156,100.000000,24,1500,172.193115,114.000,105,41,94.517337,-11%,,1824,1488.961538
penrith,09_2020,166,100.000000,24,2399,885.800504,175.000,113,42,94.079420,6%,,2343,2175.168675
penrith,10_2020,159,100.000000,24,2084,781.388081,145.000,106,40,94.104700,-4%,,2675,3256.849057
penrith,11_2020,155,100.000000,24,2329,875.208746,179.000,104,39,94.089433,-3%,,2247,3107.916129
penrith,12_2020,161,100.000000,24,2172,798.748451,165.000,108,38,94.969363,4%,,2795,3609.453416
randwick,01_2021,3030,100.000000,18,10000,441.298541,250.000,2434,227,88.288896,,,73355,4382.172277
randwick,02_2021,3045,99.704433,18,10000,382.423567,245.000,2426,226,87.778225,0%,,71572,4227.218062
randwick,03_2021,3002,99.666889,18,10000,364.363588,215.000,2396,217,87.754209,-1%,11%,71636,4172.160560
randwick,04_2021,2989,99.498160,15,10000,373.640214,210.000,2383,212,87.009360,-1%,50%,71459,4165.140181
randwick,05_2020,3283,100.000000,5,10001,493.263277,201.000,2606,264,88.325295,10%,-100%,75640,4169.027414
randwick,06_2020,3275,100.000000,4,10000,461.845148,200.000,2597,265,88.422284,0%,,75066,4127.173435
randwick,07_2020,3203,100.000000,4,10000,533.352769,219.000,2541,258,88.682853,-2%,,74290,4228.264752
randwick,08_2020,2802,100.000000,11,10000,297.111743,171.000,2231,242,88.677893,-13%,,61496,3798.783369
randwick,09_2020,3143,100.000000,14,10000,370.373814,195.000,2506,243,88.483250,12%,,72601,4017.851416
randwick,10_2020,3080,100.000000,15,10000,376.683917,200.000,2468,237,88.254883,-2%,,73776,4243.011039
randwick,11_2020,3014,100.000000,16,10000,358.800882,199.000,2430,229,88.118427,-2%,,71788,4271.851360
randwick,12_2020,3038,100.000000,16,10000,453.308015,244.000,2451,230,88.442276,1%,,75487,4695.329164
ryde,01_2021,598,100.000000,14,2215,297.774760,119.000,456,78,89.595840,,,12604,2328.617057
ryde,02_2021,594,100.000000,14,1746,144.093355,138.000,453,75,89.381556,-1%,,11774,2149.104377
ryde,03_2021,587,100.000000,14,2321,146.801995,142.000,447,72,88.966359,-1%,,12112,2235.221465
ryde,04_2021,555,99.819820,15,5000,141.574279,146.000,427,71,89.223502,-6%,,11427,2500.515315
ryde,05_2020,718,100.000000,20,2546,685.874463,165.000,518,93,90.402936,30%,-100%,11781,2401.759053
ryde,06_2020,686,100.000000,20,2456,674.873398,161.000,503,90,91.007713,-4%,,12042,2272.157434
ryde,07_2020,673,100.000000,20,2711,936.663019,190.000,492,86,92.368523,-2%,,11939,2910.824666
ryde,08_2020,534,100.000000,16,829,114.656045,110.000,413,71,90.856098,-21%,,9370,1686.490637
ryde,09_2020,596,100.000000,16,829,120.229215,117.000,463,81,87.577261,12%,,10889,1761.953020
ryde,10_2020,586,100.000000,16,829,124.881724,125.000,460,82,87.637299,-2%,,11534,1978.380546
ryde,11_2020,581,100.000000,16,829,129.232279,130.000,457,78,88.658009,-1%,,10715,1850.462995
ryde,12_2020,589,100.000000,16,1086,134.664520,144.000,460,79,89.537906,1%,,12363,2223.342954
strathfield,01_2021,178,100.000000,20,4567,116.423860,113.000,141,21,87.114849,,,3253,1882.758427
strathfield,02_2021,178,100.000000,20,4567,117.751256,118.000,141,22,87.599657,0%,,2867,1441.612360
strathfield,03_2021,176,100.000000,20,4567,109.986541,114.000,141,22,88.660038,-1%,,2960,1458.244318
strathfield,04_2021,177,99.435028,20,4567,113.347145,105.000,144,21,88.420055,0%,,2998,1468.723164
strathfield,05_2020,208,100.000000,15,1000,120.580635,120.000,157,26,92.686590,18%,-100%,3597,2077.187500
strathfield,06_2020,209,100.000000,16,999,116.603095,122.000,156,24,92.655191,0%,,3332,1404.435407
strathfield,07_2020,205,100.000000,16,999,127.117946,136.000,152,25,92.635013,-2%,,3292,1669.604878
strathfield,08_2020,175,100.000000,20,4567,145.081014,124.000,134,23,92.281725,-15%,,2390,1173.314286
strathfield,09_2020,199,100.000000,20,4567,125.051323,124.000,149,26,92.119377,14%,,3258,1417.969849
strathfield,10_2020,194,100.000000,20,4567,139.434045,106.000,145,26,92.269082,-3%,,3292,1447.757732
strathfield,11_2020,183,100.000000,20,4567,98.945136,85.000,141,21,88.586566,-6%,,2769,1218.786885
strathfield,12_2020,177,100.000000,20,4567,130.771053,128.000,141,21,88.062784,-3%,,3108,1476.598870
sutherland shire,01_2021,518,100.000000,24,1741,246.096222,151.000,452,143,95.539089,,,11124,5060.635135
sutherland shire,02_2021,510,100.000000,24,1988,232.779217,161.000,447,141,96.231959,-2%,,10423,4621.754902
sutherland shire,03_2021,512,100.000000,24,1988,285.525040,214.000,450,137,96.209408,0%,,10597,4609.646484
sutherland shire,04_2021,507,99.408284,24,2143,280.890904,212.000,441,135,96.258793,-2%,,10374,4622.970414
sutherland shire,05_2020,564,100.000000,35,2440,628.594907,199.000,486,145,94.784959,12%,-100%,10273,3858.437943
sutherland shire,06_2020,544,100.000000,34,2440,635.058732,195.000,474,146,92.872886,-4%,,10612,4139.851103
sutherland shire,07_2020,529,100.000000,35,2710,890.654547,250.000,464,142,92.910508,-3%,,10447,4360.909263
sutherland shire,08_2020,478,100.000000,24,1500,212.157531,150.000,426,141,95.520488,-10%,,9114,3879.598326
sutherland shire,09_2020,510,100.000000,24,1523,213.636575,150.000,453,142,95.242502,7%,,10479,4236.749020
sutherland shire,10_2020,507,100.000000,22,1500,214.937192,143.000,448,142,95.282264,-1%,,10631,4527.960552
sutherland shire,11_2020,508,100.000000,24,1500,223.626357,146.000,449,139,95.369933,0%,,10263,4519.163386
sutherland shire,12_2020,515,100.000000,24,1669,241.016844,150.000,454,143,95.343026,1%,,12220,5712.073786
sydney,01_2021,8153,100.000000,11,23929,407.539327,186.000,5625,823,90.728208,,,191368,4237.681958
sydney,02_2021,8074,99.913302,11,23571,367.864478,188.000,5581,803,90.691986,-1%,,185801,4020.817934
sydney,03_2021,7956,99.824032,11,22500,415.549065,187.000,5538,790,90.491597,-2%,100%,184755,4204.810458
sydney,04_2021,7773,99.588319,11,14315,350.987659,182.000,5440,763,90.356620,-3%,129%,185407,4132.128007
sydney,05_2020,9593,100.000000,0,14315,578.183485,185.000,6262,958,90.930292,24%,-100%,191705,3651.307307
sydney,06_2020,9364,100.000000,0,14314,574.894315,210.000,6185,941,91.036309,-2%,,193943,3719.978428
sydney,07_2020,9021,100.000000,0,14315,762.768186,228.000,6017,917,91.069830,-4%,,192223,4114.458597
sydney,08_2020,7629,100.000000,11,14315,169.115076,135.000,5210,850,91.227916,-15%,,155021,3056.577664
sydney,09_2020,8458,100.000000,11,14315,176.247295,141.000,5838,868,91.355255,11%,,180026,3284.350437
sydney,10_2020,8323,100.000000,11,14315,181.295702,146.000,5774,856,91.402911,-2%,,185882,3531.319837
sydney,11_2020,8188,100.000000,11,22500,180.658067,144.000,5728,847,91.083159,-2%,,182866,3583.400342
sydney,12_2020,8056,100.000000,11,22500,207.764383,156.000,5668,840,90.865970,-2%,,196662,4181.368297
the hills shire,01_2021,299,100.000000,25,8224,402.033435,209.000,225,51,92.066978,,,5030,3131.076923
the hills shire,02_2021,295,100.000000,25,6627,367.932929,201.000,222,52,91.879402,-1%,,4900,2338.766102
the hills shire,03_2021,288,99.652778,25,6025,456.122867,274.000,220,51,91.945678,-3%,,4621,2403.965278
the hills shire,04_2021,278,98.920863,25,6942,489.408741,283.000,213,47,92.038009,-4%,200%,4674,2569.237410
the hills shire,05_2020,325,100.000000,24,6986,514.313021,80.000,259,68,93.678604,18%,-100%,4798,1903.344615
the hills shire,06_2020,314,100.000000,24,6984,514.588287,80.000,250,62,93.261652,-3%,,4879,1945.716561
the hills shire,07_2020,326,100.000000,26,6985,1438.619720,2157.000,250,65,93.229449,4%,,4730,2267.966258
the hills shire,08_2020,304,100.000000,25,9999,208.456060,80.000,244,62,93.222989,-7%,,4206,1602.319079
the hills shire,09_2020,318,100.000000,21,9999,251.921133,181.000,247,62,92.556475,5%,,4774,1892.389937
the hills shire,10_2020,314,100.000000,25,9999,239.137950,165.000,242,60,92.558950,-1%,,4935,2456.280255
the hills shire,11_2020,307,100.000000,25,9999,441.163841,150.000,235,56,92.046964,-2%,,4399,2088.931596
the hills shire,12_2020,296,100.000000,25,7918,516.917750,255.000,227,51,92.012936,-4%,,5498,4009.027027
waverley,01_2021,4780,99.958159,5,10000,602.494887,356.000,3975,340,92.427648,,,121074,6035.685146
waverley,02_2021,4737,99.915558,5,10000,601.548375,350.000,3945,333,92.633143,-1%,100%,118825,5984.411864
waverley,03_2021,4678,99.914493,5,10000,521.279738,340.000,3908,321,92.828030,-1%,0%,117787,5810.834117
waverley,04_2021,4622,99.632194,5,10000,527.808202,350.000,3856,319,92.663349,-1%,325%,116133,5863.527045
waverley,05_2020,5091,100.000000,5,10000,558.097774,300.000,4210,389,91.608588,11%,-100%,120191,5386.739737
waverley,06_2020,5024,100.000000,4,10000,536.191113,300.000,4165,376,91.863868,-1%,,119400,5430.481887
waverley,07_2020,4913,100.000000,5,10000,584.131667,310.000,4085,365,92.380672,-2%,,118065,5455.223692
waverley,08_2020,4218,100.000000,14,10000,423.511064,234.000,3518,324,92.235739,-14%,,98129,5016.964201
waverley,09_2020,4830,100.000000,5,10000,513.878759,274.000,3999,347,92.399475,15%,,116816,5370.901242
waverley,10_2020,4765,100.000000,5,10000,510.399018,289.000,3968,344,92.513139,-1%,,118461,5586.344386
waverley,11_2020,4740,100.000000,5,10000,496.324383,300.000,3964,340,92.136643,-1%,,118042,5626.181857
waverley,12_2020,4803,99.979180,5,10000,634.382509,400.000,4009,345,92.498100,1%,,123079,6210.733292
willoughby,01_2021,490,100.000000,24,14568,321.087869,183.000,373,53,91.834943,,,10220,5695.526531
willoughby,02_2021,477,99.790356,24,14568,206.471594,182.000,367,51,91.778245,-3%,,9474,4775.320755
willoughby,03_2021,479,99.791232,24,14568,244.063353,195.000,366,51,91.844353,0%,0%,9790,4924.964509
willoughby,04_2021,470,99.787234,24,14568,232.722145,175.000,358,47,91.305230,-2%,0%,9629,4963.395745
willoughby,05_2020,528,100.000000,26,2599,411.029424,170.000,403,54,90.134226,13%,-100%,9205,3605.594697
willoughby,06_2020,524,100.000000,25,2600,439.770703,180.000,401,50,90.314908,-1%,,9149,3505.637405
willoughby,07_2020,527,100.000000,22,2711,638.192947,180.000,391,50,90.672238,1%,,8980,3327.988615
willoughby,08_2020,467,100.000000,24,14568,214.040507,133.000,348,46,90.511899,-11%,,7843,3916.398287
willoughby,09_2020,501,100.000000,19,14568,218.194653,139.000,376,51,90.574760,7%,,8792,4060.848303
willoughby,10_2020,493,100.000000,24,14568,243.795572,165.000,371,50,90.584448,-2%,,9741,4996.689655
willoughby,11_2020,485,100.000000,24,14568,210.447065,175.000,372,53,91.147116,-2%,,9212,4706.740206
willoughby,12_2020,485,100.000000,22,14568,238.127819,165.000,375,54,91.899562,0%,,10821,5825.529897
woollahra,01_2021,1390,100.000000,25,28613,765.405928,385.000,1164,124,92.162026,,,33614,7258.160432
woollahra,02_2021,1382,99.927641,25,28613,747.676503,350.000,1157,126,92.384038,-1%,,32320,6885.488423
woollahra,03_2021,1370,100.000000,25,28613,727.626943,300.000,1152,123,92.138314,-1%,-100%,32364,6739.399270
woollahra,04_2021,1312,99.771341,25,28613,779.157913,312.000,1101,119,92.942294,-4%,,31858,7521.035061
woollahra,05_2020,1549,100.000000,23,12076,846.515060,338.000,1281,144,92.984735,18%,-100%,34279,6124.092318
woollahra,06_2020,1510,100.000000,23,12075,769.510095,325.000,1255,139,93.004963,-3%,,34176,6189.841722
woollahra,07_2020,1485,100.000000,25,28613,742.028122,315.000,1230,137,92.955660,-2%,,33653,6775.139394
woollahra,08_2020,1318,100.000000,28,9501,632.757112,281.000,1094,131,92.580033,-11%,,28798,6238.591047
woollahra,09_2020,1471,100.000000,20,28613,750.911455,290.000,1215,132,92.590565,12%,,33214,7080.589395
woollahra,10_2020,1438,100.000000,20,28613,779.916048,300.000,1198,131,92.562555,-2%,,33774,7400.184979
woollahra,11_2020,1415,100.000000,20,28613,685.513192,300.000,1192,134,92.354164,-2%,,33103,6947.042403
woollahra,12_2020,1396,100.000000,25,28613,849.683155,413.000,1172,126,92.450675,-1%,,34094,7626.099570
