LISTING_NEIGHBOURHOOD,MONTH_YEAR,TOTAL_LISTINGS,ACTIVE_LISTINGS_RATE,TRUE_MIN_PRICE_ACTIVE_LISTINGS,TRUE_MAX_PRICE_ACTIVE_LISTINGS,TRUE_AVG_PRICE_ACTIVE_LISTINGS,TRUE_MEDIAN_PRICE_ACTIVE_LISTINGS,TOTAL_DISTINCT_HOSTS,TOTAL_SUPERHOST_COUNT,TRUE_AVG_REVIEW_SCORE_RATING,PERCENTAGE_CHANGE_ACTIVE,PERCENTAGE_CHANGE_INACTIVE,TOTAL_NUMBER_OF_STAYS,AVG_REV
campbelltown,07_2020,113,100.000000,20,2500,1196.118492,2157.000,73,23,92.353699,-5%,,1770,2274.787611
campbelltown,08_2020,94,100.000000,25,2500,201.218849,162.000,68,23,92.076082,-17%,,1173,1733.042553
campbelltown,09_2020,100,100.000000,25,510,119.934043,76.000,71,23,92.339696,6%,,1528,1246.340000
campbelltown,10_2020,96,100.000000,25,659,132.173620,84.000,67,22,90.719606,-4%,,1683,1733.156250
campbelltown,11_2020,99,100.000000,25,660,139.201508,84.000,68,23,90.455548,3%,,1599,1426.050505
campbelltown,12_2020,102,100.000000,24,2243,1132.653694,426.000,69,21,89.183900,3%,,1867,3326.500000
canada bay,01_2021,384,100.000000,21,3586,203.360637,130.000,327,39,88.303859,,,8390,3378.106771
canada bay,02_2021,383,99.738903,21,3300,207.815556,155.000,322,38,87.506620,-1%,,7995,3208.258486
canada bay,03_2021,381,99.737533,21,3300,199.729097,141.000,321,37,86.920998,-1%,0%,8366,3438.674541
canada bay,04_2021,375,99.466667,25,3300,199.230627,168.000,314,37,91.050251,-2%,100%,7795,3311.570667
canada bay,05_2020,464,100.000000,24,2440,643.224439,193.000,384,50,92.280178,24%,-100%,8923,2836.644397
canada bay,06_2020,444,100.000000,24,2440,664.414159,193.000,372,48,88.272383,-4%,,8875,2936.110360
canada bay,07_2020,424,100.000000,24,2711,738.439839,188.000,359,46,88.726094,-5%,,8719,3212.167453
canada bay,08_2020,357,100.000000,25,1450,184.080571,139.000,310,42,91.186252,-16%,,7167,2866.254902
canada bay,09_2020,400,100.000000,25,1450,196.870452,137.000,345,42,90.373358,12%,,8214,2895.402500
canada bay,10_2020,396,100.000000,25,1100,187.643935,131.000,343,40,91.884489,-1%,,8666,3097.512626
canada bay,11_2020,372,100.000000,21,1100,190.007017,142.000,322,37,93.340907,-6%,,7758,2887.440860
canada bay,12_2020,381,100.000000,21,3300,212.001898,136.000,324,39,90.697458,2%,,8552,3385.587927
canterbury-bankstown,01_2021,594,100.000000,13,893,128.478723,136.000,452,60,87.538751,,,10277,1658.828283
canterbury-bankstown,02_2021,596,99.496644,13,2261,293.123054,136.000,453,59,88.367683,0%,,9541,1709.656040
canterbury-bankstown,03_2021,586,99.488055,13,1000,138.711583,122.000,450,59,88.407207,-2%,0%,9753,1585.518771
canterbury-bankstown,04_2021,577,98.960139,13,851,136.598628,100.000,448,59,88.545872,-2%,100%,9206,1486.188908
canterbury-bankstown,05_2020,657,100.000000,12,1000,94.404667,86.000,502,65,87.983317,15%,-100%,9625,1336.185693
canterbury-bankstown,06_2020,650,100.000000,13,999,94.152615,85.000,494,64,88.028897,-1%,,9995,1437.427692
canterbury-bankstown,07_2020,632,100.000000,13,2157,239.153505,96.000,490,65,88.227005,-3%,,10114,1479.015823
canterbury-bankstown,08_2020,557,100.000000,13,850,97.731471,90.000,429,57,88.451961,-12%,,7862,1225.362657
canterbury-bankstown,09_2020,613,100.000000,13,650,116.006928,110.000,475,65,88.234812,10%,,9405,1337.686786
canterbury-bankstown,10_2020,612,100.000000,13,650,103.682605,100.000,474,65,86.386192,0%,,10499,1519.024510
canterbury-bankstown,11_2020,591,100.000000,13,900,120.869026,110.000,465,65,87.757871,-3%,,9154,1391.353638
canterbury-bankstown,12_2020,597,100.000000,13,900,116.114214,113.000,457,61,89.015002,1%,,11261,1839.879397
cumberland,01_2021,464,100.000000,15,15000,157.798785,121.000,357,66,79.950123,,,9211,4137.532328
cumberland,02_2021,473,99.788584,15,15000,146.794556,120.000,359,67,81.998412,2%,,8879,3835.938689
cumberland,03_2021,482,99.792531,15,15000,163.140541,120.000,359,65,83.669295,2%,0%,10040,4089.348548
cumberland,04_2021,444,99.099099,15,15000,126.782499,115.000,331,62,85.785935,-9%,300%,8713,4152.650901
cumberland,05_2020,582,100.000000,15,14999,220.808268,136.000,409,80,89.808910,32%,-100%,10724,3174.429553
cumberland,06_2020,546,100.000000,14,15000,222.528234,135.000,397,75,89.624528,-6%,,10058,2843.725275
cumberland,07_2020,499,100.000000,14,15000,418.209461,137.000,368,69,90.366941,-9%,,9702,3969.094188
cumberland,08_2020,425,100.000000,15,15000,109.434884,99.000,318,65,88.120261,-15%,,7711,3064.962353
